Timestamp,province,dayrate
4/6/2015 19:51:11,Mpumalanga,3500
4/6/2015 19:51:12,Gauteng,150
4/6/2015 19:51:13,KwaZulu-Natal,200
4/6/2015 19:51:14,KwaZulu-Natal,170
4/6/2015 19:51:14,Gauteng,177
4/6/2015 19:51:15,KwaZulu-Natal,150
4/6/2015 19:51:15,Western Cape,150
4/6/2015 19:51:15,Gauteng,350
4/6/2015 19:51:18,Gauteng,150
4/6/2015 19:51:18,Western Cape,4800
4/6/2015 19:51:18,Gauteng,90
4/6/2015 19:51:20,Western Cape,100
4/6/2015 19:51:24,Gauteng,160
4/6/2015 19:51:25,Western Cape,150
4/6/2015 19:51:25,Gauteng,125
4/6/2015 19:51:28,Gauteng,4000
4/6/2015 19:51:31,Limpopo,100
4/6/2015 19:51:32,Gauteng,103
4/6/2015 19:51:38,Mpumalanga,130
4/6/2015 19:51:38,Gauteng,175
4/6/2015 19:51:41,Eastern Cape,150
4/6/2015 19:51:41,Gauteng,143
4/6/2015 19:51:43,Gauteng,80
4/6/2015 19:51:43,Gauteng,3300
4/6/2015 19:51:44,Gauteng,150
4/6/2015 19:51:50,Gauteng,150
4/6/2015 19:51:56,Western Cape,150
4/6/2015 19:51:56,Gauteng,150
4/6/2015 19:51:58,Limpopo,75
4/6/2015 19:51:58,Western Cape,200
4/6/2015 19:52:04,Gauteng,120
4/6/2015 19:52:04,Gauteng,220
4/6/2015 19:52:07,Gauteng,190
4/6/2015 19:52:08,Gauteng,286
4/6/2015 19:52:10,Gauteng,200
4/6/2015 19:52:11,Gauteng,200
4/6/2015 19:52:12,Gauteng,120
4/6/2015 19:52:12,KwaZulu-Natal,120
4/6/2015 19:52:13,Gauteng,20
4/6/2015 19:52:14,Western Cape,180
4/6/2015 19:52:14,Western Cape,220
4/6/2015 19:52:18,Western Cape,200
4/6/2015 19:52:19,Gauteng,175
4/6/2015 19:52:20,Gauteng,500
4/6/2015 19:52:23,Mpumalanga,1600
4/6/2015 19:52:24,Western Cape,200
4/6/2015 19:52:24,Gauteng,207
4/6/2015 19:52:24,Gauteng,180
4/6/2015 19:52:25,Western Cape,150
4/6/2015 19:52:26,Gauteng,130
4/6/2015 19:52:26,Gauteng,240
4/6/2015 19:52:28,Gauteng,235
4/6/2015 19:52:30,Free State,120
4/6/2015 19:52:30,Gauteng,182.25
4/6/2015 19:52:33,Limpopo,1
4/6/2015 19:52:33,Gauteng,50
4/6/2015 19:52:36,Gauteng,150
4/6/2015 19:52:39,Gauteng,210
4/6/2015 19:52:39,Gauteng,160
4/6/2015 19:52:42,Western Cape,200
4/6/2015 19:52:44,KwaZulu-Natal,170
4/6/2015 19:52:44,Western Cape,150
4/6/2015 19:52:45,Gauteng,200
4/6/2015 19:52:47,Gauteng,130
4/6/2015 19:52:47,Free State,100
4/6/2015 19:52:49,Eastern Cape,150
4/6/2015 19:52:49,Western Cape,150
4/6/2015 19:52:50,Western Cape,150
4/6/2015 19:52:53,Western Cape,200
4/6/2015 19:52:54,Gauteng,200
4/6/2015 19:52:56,Eastern Cape,44
4/6/2015 19:52:56,KwaZulu-Natal,108
